iter	Passed	Remaining
0	281	27875
1	642	31465
2	862	27871
3	977	23459
4	1057	20084
5	1132	17741
6	1193	15856
7	1359	15629
8	1450	14667
9	1545	13912
10	1648	13341
11	1707	12519
12	1807	12095
13	1859	11420
14	1939	10991
15	2038	10699
16	2119	10348
17	2196	10007
18	2262	9644
19	2327	9310
20	2416	9088
21	2504	8880
22	2597	8696
23	2734	8660
579	4270
27	1640	4219
28	1693	4147
29	1736	4050
30	1776	3954
31	1825	3880
32	1876	3808
33	1926	3740
34	1977	3672
35	2025	3601
36	2067	3519
37	2112	3447
38	2163	3383
39	2213	3320
40	2270	3267
41	2329	3216
42	2401	3183
43	2458	3129
44	2517	3076
45	2567	3013
46	2624	2959
47	2668	2890
48	2704	2814
